[2026-03-16 12:28:46]  [197/3574] [!] 데이터 없음: https://www.vivino.com/en/domaine-poisot-pere-and-fils-corton-charlemagne-grand-cru/w/1635303?year=2022&price_id=37062877
[2026-03-16 12:28:46]  [195/3574] [!] 데이터 없음: https://www.vivino.com/en/prophet-s-rock-cuvee-aux-antipodes-blanc/w/8341584?year=2022&price_id=35624803
[2026-03-16 12:28:46]  [196/3574] [!] 데이터 없음: https://www.vivino.com/en/aromo-winemaker-s-selection-cabernet-sauvignon-syrah/w/1394493?year=2009&price_id=2804746
[2026-03-16 12:28:46]  [198/3574] [!] 데이터 없음: https://www.vivino.com/en/gibbston-valley-pinot-noir/w/1142375?year=2019&price_id=28635735
[2026-03-16 12:28:46]  [189/3574] [성공] Tokaj Classic Tokaji Aszú... | 분포:True
[2026-03-16 12:28:46]  [199/3574] [!] 데이터 없음: https://www.vivino.com/en/michel-fonne-tradition-sylvaner/w/2465086?year=2011&price_id=14023246
[2026-03-16 12:28:46]  [200/3574] [!] 데이터 없음: https://www.vivino.com/en/sa-prum-wehlener-sonnenuhr-riesling-auslese/w/88363?year=2018&price_id=37843991
[2026-03-16 12:28:46]  [201/3574] [!] 데이터 없음: https://www.vivino.com/en/bera-sassisto-langhe/w/1157503?year=2007&price_id=2804988
[2026-03-16 12:28:46]  [202/3574] [!] 데이터 없음: https://www.vivino.com/en/montes-montes-alpha-chardonnay-aconcagua-costa-white-wine-v-pnhvt/w/1244627?year=2007&price_id=14650559
[2026-03-16 12:28:46]  [203/3574] [!] 데이터 없음: https://www.vivino.com/en/remy-ferbras-cotes-du-rhone-rouge/w/1536577?year=2012&price_id=7944145
[2026-03-16 12:28:46]  [205/3574] [!] 데이터 없음: https://www.vivino.com/en/pyramid-valley-vineyards-earth-smoke-pinot-noir/w/1682074?year=2022&price_id=37229843
[2026-03-16 12:28:46]  [204/3574] [!] 데이터 없음: https://www.vivino.com/en/rippon-osteiner/w/1725863?year=2024&price_id=39663841
[2026-03-16 12:28:46]  [206/3574] [!] 데이터 없음: https://www.vivino.com/en/domaine-de-la-vougeraie-savigny-les-beaune/w/3563883?year=2022&price_id=38600276
[2026-03-16 12:28:46]  [207/3574] [!] 데이터 없음: https://www.vivino.com/en/cantina-zaccagnini-san-clemente-montepulciano-d-abruzzo-terre-di-casauria-riserva/w/2699?year=2006&price_id=14540780
[2026-03-16 12:28:47]  [208/3574] [!] 데이터 없음: https://www.vivino.com/en/ornellaia-bolgheri-superiore/w/22447?year=2019&price_id=39830171
[2026-03-16 12:28:47]  [209/3574] [!] 데이터 없음: https://www.vivino.com/en/chateau-cazebonne-bordeaux-graves-blanc/w/84003?year=2006&price_id=7953579
[2026-03-16 12:28:47]  [210/3574] [!] 데이터 없음: https://www.vivino.com/en/mastroberardino-taurasi-naturalis-historia-riserva/w/9253?year=2000&price_id=2804886
[2026-03-16 12:28:47]  [190/3574] [성공] Le Marchesine Franciacort... | 분포:True
[2026-03-16 12:28:47]  [185/3574] [성공] Biondi-Santi Rosso di Mon... | 분포:True
[2026-03-16 12:28:47] --- 중간 저장: 누적 192건 ---
[2026-03-16 12:28:57]  [211/3574] [!] 데이터 없음: https://www.vivino.com/en/fritz-haag-riesling-trocken-brauneberger-juffer-sonnenuhr-gg/w/2242419?year=2007&price_id=2894905
[2026-03-16 12:28:57]  [212/3574] [!] 데이터 없음: https://www.vivino.com/en/chateau-calon-segur-saint-estephe-grand-cru-classe/w/1126954?year=2008&price_id=37844030
[2026-03-16 12:28:57]  [213/3574] [!] 데이터 없음: https://www.vivino.com/en/sordo-barolo-ceretta-di-perno/w/1607907?year=2003&price_id=14650381
[2026-03-16 12:28:58]  [214/3574] [!] 데이터 없음: https://www.vivino.com/en/baroncini-cavalcante-sangiovese-di-toscana/w/40594?year=2011&price_id=14539809
[2026-03-16 12:28:58]  [215/3574] [!] 데이터 없음: https://www.vivino.com/en/donnhoff-hollenpfad-im-muhlenberg-riesling-gg/w/6659472?year=2023&price_id=37843552
[2026-03-16 12:28:58]  [216/3574] [!] 데이터 없음: https://www.vivino.com/en/domaine-combier-clos-des-grives-crozes-hermitage-rouge/w/1105466?year=2022&price_id=38566703
[2026-03-16 12:28:58]  [217/3574] [!] 데이터 없음: https://www.vivino.com/en/ravanal-rawen-reserva-chardonnay/w/1505697?year=2008&price_id=2895364
[2026-03-16 12:28:58]  [218/3574] [!] 데이터 없음: https://www.vivino.com/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=1989&price_id=38161865
[2026-03-16 12:28:58]  [219/3574] [!] 데이터 없음: https://www.vivino.com/en/schafer-frohlich-halenberg-riesling-gg/w/1613064?year=2023&price_id=37843621
[2026-03-16 12:28:58]  [220/3574] [!] 데이터 없음: https://www.vivino.com/en/rh-phillips-chardonnay/w/1133087?year=2002&price_id=11000428
[2026-03-16 12:28:58]  [221/3574] [!] 데이터 없음: https://www.vivino.com/en/gut-oggau-joschuari-rot/w/1232219?year=2023&price_id=38505520
[2026-03-16 12:28:58]  [222/3574] [!] 데이터 없음: https://www.vivino.com/en/domaine-du-colombier-chablis-premier-cru-chablis-premier-cru-vaucoupin/w/1795958?year=2023&price_id=40063567
[2026-03-16 12:28:58]  [223/3574] [!] 데이터 없음: https://www.vivino.com/en/firesteed-cellars-riesling/w/15707?year=2008&price_id=14650536
[2026-03-16 12:28:58]  [224/3574] [!] 데이터 없음: https://www.vivino.com/en/gotas-de-mar-albarino/w/3692236?year=2014&price_id=7953583
[2026-03-16 12:28:58]  [225/3574] [!] 데이터 없음: https://www.vivino.com/en/franz-hirtzberger-steinterrassen-riesling-federspiel/w/12569?year=2024&price_id=39191431
[2026-03-16 12:28:58]  [226/3574] [!] 데이터 없음: https://www.vivino.com/en/chateau-de-francs-francs-cotes-de-bordeaux/w/1172264?year=2018&price_id=37805335
[2026-03-16 12:28:58]  [227/3574] [!] 데이터 없음: https://www.vivino.com/en/von-winning-ozyetra/w/7641612?year=2021&price_id=37843702
[2026-03-16 12:28:58]  [228/3574] [!] 데이터 없음: https://www.vivino.com/en/weingut-knoll-ried-loibenberg-loibner-riesling-smaragd/w/1102929?year=2024&price_id=39978491
[2026-03-16 12:28:58]  [229/3574] [!] 데이터 없음: https://www.vivino.com/en/massena-the-eleventh-hour/w/1084158?year=2005&price_id=2895184
[2026-03-16 12:28:58]  [230/3574] [!] 데이터 없음: https://www.vivino.com/en/strohmeier-schilcher-frizzante/w/1508101?price_id=19995797
[2026-03-16 12:28:58]  [232/3574] [!] 데이터 없음: https://www.vivino.com/en/chateau-calon-segur-saint-estephe-grand-cru-classe/w/1126954?year=2000&price_id=37844083
[2026-03-16 12:28:58]  [234/3574] [!] 데이터 없음: https://www.vivino.com/en/donnafugata-bell-assai-sicilia-red-wine/w/5652966?year=2016&price_id=25868596
[2026-03-16 12:28:58]  [235/3574] [!] 데이터 없음: https://www.vivino.com/en/donnafugata-contessa-entellina-chiaranda/w/4788?year=2018&price_id=36485682
[2026-03-16 12:28:58]  [237/3574] [!] 데이터 없음: https://www.vivino.com/en/louis-m-martini-napa-valley-cabernet-sauvignon/w/83357?year=2014&price_id=24485784
[2026-03-16 12:28:58]  [238/3574] [!] 데이터 없음: https://www.vivino.com/en/christian-tschida-kapitel-i/w/1203170?year=2022&price_id=38505568
[2026-03-16 12:28:58]  [231/3574] [!] 데이터 없음: https://www.vivino.com/en/alpha-domus-the-aviator/w/1899109?year=2019&price_id=35624798
[2026-03-16 12:28:58]  [239/3574] [!] 데이터 없음: https://www.vivino.com/en/cl-urban-uco-torrontes/w/1516700?year=2011&price_id=2804730
[2026-03-16 12:28:59]  [240/3574] [!] 데이터 없음: https://www.vivino.com/en/rockburn-stolen-kiss-rose/w/1684401?year=2025&price_id=40564079
[2026-03-16 12:28:59]  [233/3574] [!] 데이터 없음: https://www.vivino.com/en/oller-del-mas-arnau-oller-seleccio-de-la-familia/w/1265499?year=2009&price_id=14650510
[2026-03-16 12:28:59]  [236/3574] [!] 데이터 없음: https://www.vivino.com/en/quinta-do-noval-douro/w/81401?year=2019&price_id=32790405
[2026-03-16 12:28:59] --- 중간 저장: 누적 192건 ---
[2026-03-16 12:29:08]  [241/3574] [!] 데이터 없음: https://www.vivino.com/en/destiny-bay-vineyards-mystae/w/1395058?year=2020&price_id=34771411
[2026-03-16 12:29:08]  [242/3574] [!] 데이터 없음: https://www.vivino.com/en/hawkshead-pinot-blanc/w/9049960?year=2024&price_id=39016780
[2026-03-16 12:29:08]  [243/3574] [!] 데이터 없음: https://www.vivino.com/en/donnhoff-hermannshohle-riesling-gg/w/1214613?year=2022&price_id=37843799
[2026-03-16 12:29:09]  [244/3574] [!] 데이터 없음: https://www.vivino.com/en/mt-rosa-rose/w/5341008?year=2024&price_id=37872708
[2026-03-16 12:29:09]  [245/3574] [!] 데이터 없음: https://www.vivino.com/en/domaine-du-coulet-matthieu-barret-brise-cailloux-cornas/w/1172595?year=2022&price_id=40462523
[2026-03-16 12:29:09]  [246/3574] [!] 데이터 없음: https://www.vivino.com/en/royal-tokaji-furmint-mezes-maly/w/2161935?year=2003&price_id=28072553
[2026-03-16 12:29:09]  [247/3574] [!] 데이터 없음: https://www.vivino.com/en/schmitt-sohne-gmbh-weinkellerei-riesling-relax/w/14758?year=2004&price_id=9353562
